order_item_id,order_id,product_id,quantity,unit_price,discount_pct
20001,10001,1,1,450,0
20002,10002,8,2,587,5
20003,10003,15,3,724,10
20004,10004,22,4,861,15
20005,10005,29,5,998,20
20006,10006,36,1,1135,0
20007,10007,43,2,1272,5
20008,10008,50,3,1409,10
20009,10009,7,4,1546,15
20010,10010,14,5,1683,20
20011,10011,21,1,1820,0
20012,10012,28,2,1957,5
20013,10013,35,3,2094,10
20014,10014,42,4,2231,15
20015,10015,49,5,2368,20
20016,10016,6,1,2505,0
20017,10017,13,2,2642,5
20018,10018,20,3,2779,10
20019,10019,27,4,2916,15
20020,10020,34,5,3053,20
20021,10021,41,1,3190,0
20022,10022,48,2,3327,5
20023,10023,5,3,3464,10
20024,10024,12,4,3601,15
20025,10025,19,5,3738,20
20026,10026,26,1,3875,0
20027,10027,33,2,4012,5
20028,10028,40,3,4149,10
20029,10029,47,4,4286,15
20030,10030,4,5,4423,20
20031,10031,11,1,4560,0
20032,10032,18,2,4697,5
20033,10033,25,3,4834,10
20034,10034,32,4,4971,15
20035,10035,39,5,5108,20
20036,10036,46,1,5245,0
20037,10037,3,2,5382,5
20038,10038,10,3,5519,10
20039,10039,17,4,5656,15
20040,10040,24,5,5793,20
20041,10041,31,1,5930,0
20042,10042,38,2,6067,5
20043,10043,45,3,6204,10
20044,10044,2,4,6341,15
20045,10045,9,5,6478,20
20046,10046,16,1,6615,0
20047,10047,23,2,552,5
20048,10048,30,3,689,10
20049,10049,37,4,826,15
20050,10050,44,5,963,20
20051,10051,1,1,1100,0
20052,10052,8,2,1237,5
20053,10053,15,3,1374,10
20054,10054,22,4,1511,15
20055,10055,29,5,1648,20
20056,10056,36,1,1785,0
20057,10057,43,2,1922,5
20058,10058,50,3,2059,10
20059,10059,7,4,2196,15
20060,10060,14,5,2333,20
20061,10061,21,1,2470,0
20062,10062,28,2,2607,5
20063,10063,35,3,2744,10
20064,10064,42,4,2881,15
20065,10065,49,5,3018,20
20066,10066,6,1,3155,0
20067,10067,13,2,3292,5
20068,10068,20,3,3429,10
20069,10069,27,4,3566,15
20070,10070,34,5,3703,20
20071,10071,41,1,3840,0
20072,10072,48,2,3977,5
20073,10073,5,3,4114,10
20074,10074,12,4,4251,15
20075,10075,19,5,4388,20
20076,10076,26,1,4525,0
20077,10077,33,2,4662,5
20078,10078,40,3,4799,10
20079,10079,47,4,4936,15
20080,10080,4,5,5073,20
20081,10081,11,1,5210,0
20082,10082,18,2,5347,5
20083,10083,25,3,5484,10
20084,10084,32,4,5621,15
20085,10085,39,5,5758,20
20086,10086,46,1,5895,0
20087,10087,3,2,6032,5
20088,10088,10,3,6169,10
20089,10089,17,4,6306,15
20090,10090,24,5,6443,20
20091,10091,31,1,6580,0
20092,10092,38,2,517,5
20093,10093,45,3,654,10
20094,10094,2,4,791,15
20095,10095,9,5,928,20
20096,10096,16,1,1065,0
20097,10097,23,2,1202,5
20098,10098,30,3,1339,10
20099,10099,37,4,1476,15
20100,10100,44,5,1613,20
20101,10101,1,1,1750,0
20102,10102,8,2,1887,5
20103,10103,15,3,2024,10
20104,10104,22,4,2161,15
20105,10105,29,5,2298,20
20106,10106,36,1,2435,0
20107,10107,43,2,2572,5
20108,10108,50,3,2709,10
20109,10109,7,4,2846,15
20110,10110,14,5,2983,20
20111,10111,21,1,3120,0
20112,10112,28,2,3257,5
20113,10113,35,3,3394,10
20114,10114,42,4,3531,15
20115,10115,49,5,3668,20
20116,10116,6,1,3805,0
20117,10117,13,2,3942,5
20118,10118,20,3,4079,10
20119,10119,27,4,4216,15
20120,10120,34,5,4353,20
20121,10121,41,1,4490,0
20122,10122,48,2,4627,5
20123,10123,5,3,4764,10
20124,10124,12,4,4901,15
20125,10125,19,5,5038,20
20126,10126,26,1,5175,0
20127,10127,33,2,5312,5
20128,10128,40,3,5449,10
20129,10129,47,4,5586,15
