order_id,customer_id,order_date,order_status,sales_channel
10001,1,2026-01-01,Placed,Web
10002,2,2026-02-06,Paid,Mobile
10003,3,2026-03-11,Shipped,Store
10004,4,2026-04-16,Delivered,Web
10005,5,2026-05-21,Cancelled,Mobile
10006,6,2026-06-26,Placed,Store
10007,7,2026-07-04,Paid,Web
10008,8,2026-08-09,Shipped,Mobile
10009,9,2026-01-14,Delivered,Store
10010,10,2026-02-19,Cancelled,Web
10011,11,2026-03-24,Placed,Mobile
10012,12,2026-04-02,Paid,Store
10013,13,2026-05-07,Shipped,Web
10014,14,2026-06-12,Delivered,Mobile
10015,15,2026-07-17,Cancelled,Store
10016,16,2026-08-22,Placed,Web
10017,17,2026-01-27,Paid,Mobile
10018,18,2026-02-05,Shipped,Store
10019,19,2026-03-10,Delivered,Web
10020,20,2026-04-15,Cancelled,Mobile
10021,21,2026-05-20,Placed,Store
10022,22,2026-06-25,Paid,Web
10023,23,2026-07-03,Shipped,Mobile
10024,24,2026-08-08,Delivered,Store
10025,25,2026-01-13,Cancelled,Web
10026,26,2026-02-18,Placed,Mobile
10027,27,2026-03-23,Paid,Store
10028,28,2026-04-01,Shipped,Web
10029,29,2026-05-06,Delivered,Mobile
10030,30,2026-06-11,Cancelled,Store
10031,31,2026-07-16,Placed,Web
10032,32,2026-08-21,Paid,Mobile
10033,33,2026-01-26,Shipped,Store
10034,34,2026-02-04,Delivered,Web
10035,35,2026-03-09,Cancelled,Mobile
10036,36,2026-04-14,Placed,Store
10037,37,2026-05-19,Paid,Web
10038,38,2026-06-24,Shipped,Mobile
10039,39,2026-07-02,Delivered,Store
10040,40,2026-08-07,Cancelled,Web
10041,41,2026-01-12,Placed,Mobile
10042,42,2026-02-17,Paid,Store
10043,43,2026-03-22,Shipped,Web
10044,44,2026-04-27,Delivered,Mobile
10045,45,2026-05-05,Cancelled,Store
10046,46,2026-06-10,Placed,Web
10047,47,2026-07-15,Paid,Mobile
10048,48,2026-08-20,Shipped,Store
10049,49,2026-01-25,Delivered,Web
10050,50,2026-02-03,Cancelled,Mobile
10051,51,2026-03-08,Placed,Store
10052,52,2026-04-13,Paid,Web
10053,53,2026-05-18,Shipped,Mobile
10054,54,2026-06-23,Delivered,Store
10055,55,2026-07-01,Cancelled,Web
10056,56,2026-08-06,Placed,Mobile
10057,57,2026-01-11,Paid,Store
10058,58,2026-02-16,Shipped,Web
10059,59,2026-03-21,Delivered,Mobile
10060,60,2026-04-26,Cancelled,Store
10061,61,2026-05-04,Placed,Web
10062,62,2026-06-09,Paid,Mobile
10063,63,2026-07-14,Shipped,Store
10064,64,2026-08-19,Delivered,Web
10065,65,2026-01-24,Cancelled,Mobile
10066,66,2026-02-02,Placed,Store
10067,67,2026-03-07,Paid,Web
10068,68,2026-04-12,Shipped,Mobile
10069,69,2026-05-17,Delivered,Store
10070,70,2026-06-22,Cancelled,Web
10071,71,2026-07-27,Placed,Mobile
10072,72,2026-08-05,Paid,Store
10073,73,2026-01-10,Shipped,Web
10074,74,2026-02-15,Delivered,Mobile
10075,75,2026-03-20,Cancelled,Store
10076,76,2026-04-25,Placed,Web
10077,77,2026-05-03,Paid,Mobile
10078,78,2026-06-08,Shipped,Store
10079,79,2026-07-13,Delivered,Web
10080,80,2026-08-18,Cancelled,Mobile
10081,81,2026-01-23,Placed,Store
10082,82,2026-02-01,Paid,Web
10083,83,2026-03-06,Shipped,Mobile
10084,84,2026-04-11,Delivered,Store
10085,85,2026-05-16,Cancelled,Web
10086,86,2026-06-21,Placed,Mobile
10087,87,2026-07-26,Paid,Store
10088,88,2026-08-04,Shipped,Web
10089,89,2026-01-09,Delivered,Mobile
10090,90,2026-02-14,Cancelled,Store
10091,91,2026-03-19,Placed,Web
10092,92,2026-04-24,Paid,Mobile
10093,93,2026-05-02,Shipped,Store
10094,94,2026-06-07,Delivered,Web
10095,95,2026-07-12,Cancelled,Mobile
10096,96,2026-08-17,Placed,Store
10097,97,2026-01-22,Paid,Web
10098,98,2026-02-27,Shipped,Mobile
10099,99,2026-03-05,Delivered,Store
10100,100,2026-04-10,Cancelled,Web
10101,1,2026-05-15,Placed,Mobile
10102,2,2026-06-20,Paid,Store
10103,3,2026-07-25,Shipped,Web
10104,4,2026-08-03,Delivered,Mobile
10105,5,2026-01-08,Cancelled,Store
10106,6,2026-02-13,Placed,Web
10107,7,2026-03-18,Paid,Mobile
10108,8,2026-04-23,Shipped,Store
10109,9,2026-05-01,Delivered,Web
10110,10,2026-06-06,Cancelled,Mobile
10111,11,2026-07-11,Placed,Store
10112,12,2026-08-16,Paid,Web
10113,13,2026-01-21,Shipped,Mobile
10114,14,2026-02-26,Delivered,Store
10115,15,2026-03-04,Cancelled,Web
10116,16,2026-04-09,Placed,Mobile
10117,17,2026-05-14,Paid,Store
10118,18,2026-06-19,Shipped,Web
10119,19,2026-07-24,Delivered,Mobile
10120,20,2026-08-02,Cancelled,Store
10121,21,2026-01-07,Placed,Web
10122,22,2026-02-12,Paid,Mobile
10123,23,2026-03-17,Shipped,Store
10124,24,2026-04-22,Delivered,Web
10125,25,2026-05-27,Cancelled,Mobile
10126,26,2026-06-05,Placed,Store
10127,27,2026-07-10,Paid,Web
10128,28,2026-08-15,Shipped,Mobile
10129,29,2026-01-20,Delivered,Store
10130,30,2026-02-25,Cancelled,Web
