product_id,product_name,category,brand,cost_price,list_price
1,Product 1,Electronics,Aster,217.0,288.61
2,Product 2,Home,BluePeak,254.0,358.14
3,Product 3,Sports,Cobalt,291.0,433.59
4,Product 4,Books,Dynamo,328.0,410.0
5,Product 5,Fashion,Evergreen,365.0,485.45
6,Product 6,Electronics,Aster,402.0,566.82
7,Product 7,Home,BluePeak,439.0,654.11
8,Product 8,Sports,Cobalt,476.0,595.0
9,Product 9,Books,Dynamo,513.0,682.29
10,Product 10,Fashion,Evergreen,550.0,775.5
11,Product 11,Electronics,Aster,587.0,874.63
12,Product 12,Home,BluePeak,624.0,780.0
13,Product 13,Sports,Cobalt,661.0,879.13
14,Product 14,Books,Dynamo,698.0,984.18
15,Product 15,Fashion,Evergreen,735.0,1095.15
16,Product 16,Electronics,Aster,772.0,965.0
17,Product 17,Home,BluePeak,809.0,1075.97
18,Product 18,Sports,Cobalt,846.0,1192.86
19,Product 19,Books,Dynamo,883.0,1315.67
20,Product 20,Fashion,Evergreen,920.0,1150.0
21,Product 21,Electronics,Aster,957.0,1272.81
22,Product 22,Home,BluePeak,994.0,1401.54
23,Product 23,Sports,Cobalt,1031.0,1536.19
24,Product 24,Books,Dynamo,1068.0,1335.0
25,Product 25,Fashion,Evergreen,1105.0,1469.65
26,Product 26,Electronics,Aster,1142.0,1610.22
27,Product 27,Home,BluePeak,1179.0,1756.71
28,Product 28,Sports,Cobalt,1216.0,1520.0
29,Product 29,Books,Dynamo,1253.0,1666.49
30,Product 30,Fashion,Evergreen,1290.0,1818.9
31,Product 31,Electronics,Aster,1327.0,1977.23
32,Product 32,Home,BluePeak,1364.0,1705.0
33,Product 33,Sports,Cobalt,1401.0,1863.33
34,Product 34,Books,Dynamo,1438.0,2027.58
35,Product 35,Fashion,Evergreen,1475.0,2197.75
36,Product 36,Electronics,Aster,1512.0,1890.0
37,Product 37,Home,BluePeak,1549.0,2060.17
38,Product 38,Sports,Cobalt,1586.0,2236.26
39,Product 39,Books,Dynamo,1623.0,2418.27
40,Product 40,Fashion,Evergreen,1660.0,2075.0
41,Product 41,Electronics,Aster,1697.0,2257.01
42,Product 42,Home,BluePeak,1734.0,2444.94
43,Product 43,Sports,Cobalt,1771.0,2638.79
44,Product 44,Books,Dynamo,1808.0,2260.0
45,Product 45,Fashion,Evergreen,1845.0,2453.85
46,Product 46,Electronics,Aster,1882.0,2653.62
47,Product 47,Home,BluePeak,1919.0,2859.31
48,Product 48,Sports,Cobalt,1956.0,2445.0
49,Product 49,Books,Dynamo,1993.0,2650.69
50,Product 50,Fashion,Evergreen,2030.0,2862.3
