product_id,total_net_sales,total_profit,total_quantity
1,104050.0,97540.0,30
2,385492.0,355012.0,120
3,207879.0,190419.0,60
5,273969.0,241119.0,90
6,103700.0,91640.0,30
7,339082.0,286402.0,120
8,193724.0,165164.0,60
10,289764.0,240264.0,90
11,109550.0,91940.0,30
12,358972.0,284092.0,120
13,204839.0,165179.0,60
15,286389.0,220239.0,90
16,109200.0,86040.0,30
17,378862.0,281782.0,120
18,215954.0,165194.0,60
20,285444.0,202644.0,90
21,101750.0,73040.0,30
22,332452.0,213172.0,120
23,191729.0,129869.0,60
25,284499.0,185049.0,90
26,107600.0,73340.0,30
27,352342.0,210862.0,120
28,201134.0,128174.0,60
30,283554.0,167454.0,90
31,113450.0,73640.0,30
32,372232.0,208552.0,120
33,212249.0,128189.0,60
35,296919.0,164169.0,90
36,106000.0,60640.0,30
37,349962.0,164082.0,120
38,199804.0,104644.0,60
40,279234.0,129833.99999999999,90
41,105650.0,54740.0,30
42,345712.0,137632.0,120
43,197429.0,91169.0,60
45,295029.0,128978.99999999999,90
46,111500.0,55040.0,30
47,365602.0,135322.0,120
48,208544.0,91184.0,60
50,291654.0,108953.99999999999,90
